研修プログラムコード,コース番号,コマ記号,表示順,所要時間,タイトル,説明
agent,04,B11,2,0.5,採用フローの工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 媒体別求人票の作成 など
agent,04,B12,3,1.0,採用フローの業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: スカウトメール / 応募者への合否・日程調整メール など
agent,04,B21,4,0.5,採用フローエージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,04,B22,5,0.5,採用フローエージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,04,B3,6,1.0,AIエージェントによる採用文書作成の自動化演習①,媒体別求人票の作成 / スカウトメール / 応募者への合否・日程調整メール の一連工程を委任し、実行結果を検収・修正します
agent,04,B4,7,1.0,AIエージェントによる選考設計の自動化演習②,職種別の面接質問設計 / 面接メモの評価シート整形 / 採用ページの文章改善 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,04,B5,8,1.0,AIエージェントによる選考設計総合演習,選考設計の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,04,C1,9,1.5,採用フロー業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,04,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,04,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,04,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,04,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,05,B0,1,0.5,人事職(教育・評価)業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,05,B11,2,0.5,育成業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 研修案内文 など
agent,05,B12,3,1.0,育成業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 評価フィードバック面談の準備メモ / 目標設定の記入例文 など
agent,05,B21,4,0.5,育成業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,05,B22,5,0.5,育成業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,05,B3,6,1.0,AIエージェントによる育成文書作成の自動化演習①,研修案内文 / 評価フィードバック面談の準備メモ / 目標設定の記入例文 の一連工程を委任し、実行結果を検収・修正します
agent,05,B4,7,1.0,AIエージェントによる育成企画の自動化演習②,階層別研修計画の骨子作成 / 評価者向けガイド文書の下書き を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,05,B5,8,1.0,AIエージェントによる育成企画総合演習,育成企画の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,05,C1,9,1.5,育成業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,05,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,05,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,05,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,05,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,06,B0,1,0.5,労務職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,06,B11,2,0.5,労務ルーチンの工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 入退社手続き案内文 など
agent,06,B12,3,1.0,労務ルーチンの業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 休職・復職に関する通知文 / 届出関連の社内説明文 など
agent,06,B21,4,0.5,労務ルーチンエージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,06,B22,5,0.5,労務ルーチンエージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,06,B3,6,1.0,AIエージェントによる労務文書作成の自動化演習①,入退社手続き案内文 / 休職・復職に関する通知文 / 届出関連の社内説明文 の一連工程を委任し、実行結果を検収・修正します
agent,06,B4,7,1.0,AIエージェントによる労務対応の自動化演習②,就業規則の照会対応(条文検索→回答下書き) / 労務相談の記録整理 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,06,B5,8,1.0,AIエージェントによる労務対応総合演習,労務対応の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,06,C1,9,1.5,労務ルーチン業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,06,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,06,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,06,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,06,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,07,B0,1,0.5,一般事務職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,07,B11,2,0.5,定型業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 社内外メール・送付状 など
agent,07,B12,3,1.0,定型業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 会議録音の文字起こし→議事録整形 / 回覧文書 など
agent,07,B21,4,0.5,定型業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,07,B22,5,0.5,定型業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,07,B3,6,1.0,AIエージェントによる事務文書作成の自動化演習①,社内外メール・送付状 / 会議録音の文字起こし→議事録整形 / 回覧文書 の一連工程を委任し、実行結果を検収・修正します
agent,07,B4,7,1.0,AIエージェントによる業務整備の自動化演習②,電話メモ→対応履歴の整形 / マニュアルのない業務の手順書化 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,07,B5,8,1.0,AIエージェントによる業務整備総合演習,業務整備の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,07,C1,9,1.5,定型業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,07,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,07,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,07,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,07,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,08,B0,1,0.5,営業事務職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,08,B11,2,0.5,受注処理の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 見積書・注文請書の作成補助 など
agent,08,B12,3,1.0,受注処理の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 納期回答メール / 営業担当への引き継ぎメモ など
agent,08,B21,4,0.5,受注処理エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,08,B22,5,0.5,受注処理エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,08,B3,6,1.0,AIエージェントによる受発注文書作成の自動化演習①,見積書・注文請書の作成補助 / 納期回答メール / 営業担当への引き継ぎメモ の一連工程を委任し、実行結果を検収・修正します
agent,08,B4,7,1.0,AIエージェントによる顧客対応の自動化演習②,見積根拠の説明文書 / 仕様問い合わせ対応の下書き を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,08,B5,8,1.0,AIエージェントによる顧客対応総合演習,顧客対応の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,08,C1,9,1.5,受注処理業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,08,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,08,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,08,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,08,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,09,B0,1,0.5,貿易事務職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,09,B11,2,0.5,貿易業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 英文メール(船積案内・書類送付・納期調整) など
agent,09,B12,3,1.0,貿易業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: インボイス・パッキングリストの記載チェック など
agent,09,B21,4,0.5,貿易業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,09,B22,5,0.5,貿易業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,09,B3,6,1.0,AIエージェントによる貿易文書作成の自動化演習①,英文メール(船積案内・書類送付・納期調整) / インボイス・パッキングリストの記載チェック の一連工程を委任し、実行結果を検収・修正します
agent,09,B4,7,1.0,AIエージェントによる貿易対応の自動化演習②,英文契約条件の要点整理(和訳・比較) / フォワーダーへの見積依頼文 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,09,B5,8,1.0,AIエージェントによる貿易対応総合演習,貿易対応の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,09,C1,9,1.5,貿易業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,09,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,09,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,09,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,09,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,10,B0,1,0.5,調達・購買職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,10,B11,2,0.5,購買業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 見積依頼(RFQ)文書 など
agent,10,B12,3,1.0,購買業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 価格交渉メール / 発注書送付状 など
agent,10,B21,4,0.5,購買業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,10,B22,5,0.5,購買業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,10,B3,6,1.0,AIエージェントによる購買文書作成の自動化演習①,見積依頼(RFQ)文書 / 価格交渉メール / 発注書送付状 の一連工程を委任し、実行結果を検収・修正します
agent,10,B4,7,1.0,AIエージェントによる調達戦略の自動化演習②,代替サプライヤーのリサーチ / 価格改定要請への回答方針整理 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,10,B5,8,1.0,AIエージェントによる調達戦略総合演習,調達戦略の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,10,C1,9,1.5,購買業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,10,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,10,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,10,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,10,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,11,B0,1,0.5,秘書・役員アシスタント職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,11,B11,2,0.5,秘書業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 社内外の日程調整メール(複数候補提示) など
agent,11,B12,3,1.0,秘書業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 出張手配の依頼文 / 来客案内状 など
agent,11,B21,4,0.5,秘書業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,11,B22,5,0.5,秘書業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,11,B3,6,1.0,AIエージェントによる調整文書作成の自動化演習①,社内外の日程調整メール(複数候補提示) / 出張手配の依頼文 / 来客案内状 の一連工程を委任し、実行結果を検収・修正します
agent,11,B4,7,1.0,AIエージェントによる役員支援の自動化演習②,会食店選定リサーチと候補提案書 / スピーチ原稿の下書き補助 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,11,B5,8,1.0,AIエージェントによる役員支援総合演習,役員支援の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,11,C1,9,1.5,秘書業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,11,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,11,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,11,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,11,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,12,B0,1,0.5,法務・契約事務職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,12,B11,2,0.5,契約業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 契約締結依頼への社内回答文 など
agent,12,B12,3,1.0,契約業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 押印・電子契約の案内文 など
agent,12,B21,4,0.5,契約業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,12,B22,5,0.5,契約業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,12,B3,6,1.0,AIエージェントによる契約関連文書作成の自動化演習①,契約締結依頼への社内回答文 / 押印・電子契約の案内文 の一連工程を委任し、実行結果を検収・修正します
agent,12,B4,7,1.0,AIエージェントによる契約審査の自動化演習②,契約リスク論点の洗い出し(専門家相談前の整理) / NDAレビュー前チェック を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,12,B5,8,1.0,AIエージェントによる契約審査総合演習,契約審査の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,12,C1,9,1.5,契約業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,12,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,12,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,12,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,12,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,13,B0,1,0.5,法人営業職(新規開拓)業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,13,B11,2,0.5,営業活動の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: アポ獲得メール・レター など
agent,13,B12,3,1.0,営業活動の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 提案書の構成案と本文 / 商談後お礼メール など
agent,13,B21,4,0.5,営業活動エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,13,B22,5,0.5,営業活動エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,13,B3,6,1.0,AIエージェントによる営業文書作成の自動化演習①,アポ獲得メール・レター / 提案書の構成案と本文 / 商談後お礼メール の一連工程を委任し、実行結果を検収・修正します
agent,13,B4,7,1.0,AIエージェントによる提案力の自動化演習②,顧客業界の動向リサーチ→提案への反映 / 失注理由の分析と切り返し整理 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,13,B5,8,1.0,AIエージェントによる提案力総合演習,提案力の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,13,C1,9,1.5,営業活動業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,13,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,13,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,13,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,13,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,14,B0,1,0.5,ルート営業職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,14,B11,2,0.5,巡回業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 定期訪問の報告書 など
agent,14,B12,3,1.0,巡回業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 新商品案内文 / 価格改定の説明文書 など
agent,14,B21,4,0.5,巡回業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,14,B22,5,0.5,巡回業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,14,B3,6,1.0,AIエージェントによる訪問文書作成の自動化演習①,定期訪問の報告書 / 新商品案内文 / 価格改定の説明文書 の一連工程を委任し、実行結果を検収・修正します
agent,14,B4,7,1.0,AIエージェントによる深耕提案の自動化演習②,購買履歴からの顧客別提案ネタ出し / 休眠顧客への再アプローチ文 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,14,B5,8,1.0,AIエージェントによる深耕提案総合演習,深耕提案の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,14,C1,9,1.5,巡回業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,14,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,14,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,14,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,14,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,15,B0,1,0.5,インサイドセールス職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,15,B11,2,0.5,追客の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: 業界別架電スクリプト など
agent,15,B12,3,1.0,追客の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: メール・フォーム営業文面 / 資料送付後の追客メール など
agent,15,B21,4,0.5,追客エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,15,B22,5,0.5,追客エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,15,B3,6,1.0,AIエージェントによる架電・メール文書作成の自動化演習①,業界別架電スクリプト / メール・フォーム営業文面 / 資料送付後の追客メール の一連工程を委任し、実行結果を検収・修正します
agent,15,B4,7,1.0,AIエージェントによるトーク改善の自動化演習②,断り文句別の切り返し集作成 / 文面ABテストの生成と検証設計 を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,15,B5,8,1.0,AIエージェントによるトーク改善総合演習,トーク改善の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,15,C1,9,1.5,追客業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,15,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,15,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,15,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,15,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,16,B0,1,0.5,カスタマーサクセス職業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
agent,16,B11,2,0.5,CS業務の工程分解・基礎,自動化する定型業務の選定と工程分解(入力→手順→出力→判断基準)。題材: オンボーディング案内文 など
agent,16,B12,3,1.0,CS業務の業務指示書作成・実践,AIエージェントに委任するための業務指示書を作成 — 手順・判断基準・例外対応の言語化。題材: 活用提案メール / 解約希望への対応文 など
agent,16,B21,4,0.5,CS業務エージェントの設定・基礎,作成した業務指示書と参照資料をAIエージェントに実装します(手順・ナレッジの登録)
agent,16,B22,5,0.5,CS業務エージェントの設定・実践,マスキング済み又はダミーのデータでテスト実行し、動作を確認・修正します
agent,16,B3,6,1.0,AIエージェントによる顧客支援文書作成の自動化演習①,オンボーディング案内文 / 活用提案メール / 解約希望への対応文 の一連工程を委任し、実行結果を検収・修正します
agent,16,B4,7,1.0,AIエージェントによる顧客支援の自動化演習②,顧客別ヘルスチェックレポート作成 / 活用事例記事の下書き を含む複数ステップの業務フローを連結し、自動実行・検収します
agent,16,B5,8,1.0,AIエージェントによる顧客支援総合演習,顧客支援の一連の業務フロー(受付→処理→出力→報告)を業務エージェントに委任し、実行・検収・修正までを通しで行います(マスキング済み又はダミーのデータを使用し、講師の添削・指導つき)
agent,16,C1,9,1.5,CS業務エージェントの整備,業務指示書・エージェント設定・運用手順・利用ルールを1式にまとめ、動作確認まで完了させます
agent,16,C2,10,0.5,業務エージェントの業務フロー配置,どの工程をAIエージェントに委任し、どこに人の確認ポイントを置くかをマッピングします
agent,16,D1,11,1.0,業務エージェントの運用・監督演習,実行結果の検収手順、想定外の出力・エラー時の停止と修正、業務指示書の改善(再指示・更新)の手順を演習形式で習得します
agent,16,D2,12,0.5,委任範囲と確認体制の策定演習,機密情報・実行権限・承認フローなど、自身の業務に即した委任ルールと確認体制を演習で作成します
agent,16,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,業務エージェントを日次・週次業務のどの工程に組み込むかの計画をまとめ、講師が個別に添削・フィードバックします
agent,17,B0,1,0.5,販売営業職(店舗販売)業務のAIエージェント活用実演・要点解説,講師が本コースで扱う一連の業務工程をAIエージェントに委任し、実行から検収までを通しで実演します
