研修プログラムコード,職種カテゴリコード,コース番号,職種名,目的,表示順
agent,E,50,造園・外構職,"①造園・外構職に従事する従業員(雇用契約書上の職務が該当する方)が、②提案文書作成・顧客データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",50
agent,F,51,飲食店舗運営職(店長),"①飲食店舗運営職(店長)に従事する従業員(雇用契約書上の職務が該当する方)が、②店舗文書作成・店舗データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",51
agent,F,52,調理・キッチン管理職,"①調理・キッチン管理職に従事する従業員(雇用契約書上の職務が該当する方)が、②厨房文書作成・原価データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",52
agent,F,53,宿泊フロント職,"①宿泊フロント職に従事する従業員(雇用契約書上の職務が該当する方)が、②宿泊文書作成・予約データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",53
agent,F,54,美容師・サロン運営職,"①美容師・サロン運営職に従事する従業員(雇用契約書上の職務が該当する方)が、②顧客文書作成・カルテデータ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",54
agent,F,55,エステ・リラクゼーション職,"①エステ・リラクゼーション職に従事する従業員(雇用契約書上の職務が該当する方)が、②接客文書作成・顧客データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。
※本コースにおける生成AIの活用は文書作成・情報整理の補助であり、専門的判断は有資格者・担当者が行います。",55
agent,F,56,コールセンター・CS職,"①コールセンター・CS職に従事する従業員(雇用契約書上の職務が該当する方)が、②応対文書作成・応対データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",56
agent,F,57,フィットネストレーナー職,"①フィットネストレーナー職に従事する従業員(雇用契約書上の職務が該当する方)が、②会員文書作成・会員データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",57
agent,F,58,葬祭ディレクター職,"①葬祭ディレクター職に従事する従業員(雇用契約書上の職務が該当する方)が、②施行文書作成・施行データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",58
agent,G,59,税理士補助職,"①税理士補助職に従事する従業員(雇用契約書上の職務が該当する方)が、②顧問先文書作成・会計データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",59
agent,G,60,社労士補助職,"①社労士補助職に従事する従業員(雇用契約書上の職務が該当する方)が、②手続き文書作成・手続きデータ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",60
agent,G,61,司法書士・行政書士補助職,"①司法書士・行政書士補助職に従事する従業員(雇用契約書上の職務が該当する方)が、②依頼者文書作成・案件データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",61
agent,G,62,社内SE・情報システム職,"①社内SE・情報システム職に従事する従業員(雇用契約書上の職務が該当する方)が、②IT文書作成・運用データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",62
agent,G,63,Webエンジニア職,"①Webエンジニア職に従事する従業員(雇用契約書上の職務が該当する方)が、②開発文書作成・開発データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",63
agent,G,64,経営企画職,"①経営企画職に従事する従業員(雇用契約書上の職務が該当する方)が、②企画文書作成・経営データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",64
agent,G,65,店舗開発職,"①店舗開発職に従事する従業員(雇用契約書上の職務が該当する方)が、②開発文書作成・物件データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",65
agent,G,66,教育・講師職(スクール運営),"①教育・講師職(スクール運営)に従事する従業員(雇用契約書上の職務が該当する方)が、②教務文書作成・教務データ整理をはじめとする担当業務のうち、③事前ワーク(業務棚卸しシート)で特定した定型業務工程について、④業務の工程分解・業務指示書の作成・AIエージェントへの委任設定・実行結果の検収と運用監督のスキルを演習形式で習得し、⑤受講後に業務エージェントを自身の業務フローへ組み込み、実務で運用することを目的とします。
※本コースは「生成AI活用研修(第1段階)」の修了者、又は同等の生成AI利用経験のある方を対象とする第2段階コースです。",66
